TextBlob,brand,clean,favourites_count,followers_count,friends_count,id,location,name,orig,polarity,pubdate,screen_name,sentiment,statuses_count,subjectivity,user_id,verified
scomas replacement silicone wrist strap wrist band for xiaomi mi band 2 smart bracelet colorful watch band for mi b ,xiaomi,scomas replacement silicone wrist strap wrist band for xiaomi mi band 2 smart bracelet colorful watch band for mi b ,715,43,562,1082983181442318336,,Paul Adams,SCOMAS Replacement silicone Wrist Strap Wrist Band For Xiaomi Mi Band 2 Smart Bracelet colorful watch band for Mi B… https://t.co/HAm7eCPDYx,0.2571428571428571,Wed Jan 09 12:51:25 +0000 2019,PaulAda38641599,positive,1947,0.5214285714285715,1012434746029363209,False
"i liked a @youtube video  tech talks #707 - xiaomi leaks, s10 ram, zenfone updates, uber flying taxi, lg",xiaomi,"i liked a @youtube video  tech talks #707 - xiaomi leaks, s10 ram, zenfone updates, uber flying taxi, lg",114,6,14,1082983301831307264,"Warora, India",yogesh gaurkar,"I liked a @YouTube video https://t.co/LdVnerlvFI Tech Talks #707 - Xiaomi Leaks, S10 RAM, Zenfone Updates, Uber Flying Taxi, LG",0.6,Wed Jan 09 12:51:54 +0000 2019,yogeshgaurkar,positive,618,0.8,372915042,False
@manukumarjain @xiaomiindia @miofficialbd @xiaomi i apriciate because #mi always one level best ,xiaomi,@manukumarjain @xiaomiindia @miofficialbd @xiaomi i apriciate because #mi always one level best ,475,7,42,1082983344801869824,"Jaipur, India",bikram_kr_singh_,@manukumarjain @XiaomiIndia @MiOfficialBD @xiaomi I apriciate because #mi always one level best 👍👍👍,1.0,Wed Jan 09 12:52:04 +0000 2019,bikram_kr_singh,positive,459,0.3,804601796920573953,False
puluz 2pcs black vertical surface j-hook buckle mount for gopro sjcam xiaomi yi action camera ,xiaomi,puluz 2pcs black vertical surface j-hook buckle mount for gopro sjcam xiaomi yi action camera ,3,14,37,1082983401106427910,USA,William W. Parson,PULUZ 2pcs Black Vertical Surface J-Hook Buckle Mount for Gopro SJCAM Xiaomi Yi Action Camera https://t.co/R0eKF0AfwS,-0.033333333333333326,Wed Jan 09 12:52:18 +0000 2019,udjshevvws,neutral,99,0.26666666666666666,1064880477901922314,False
universal removable au eu uk us plugs international socket charger adapter for samsung xiaomi huawei ,xiaomi,universal removable au eu uk us plugs international socket charger adapter for samsung xiaomi huawei ,4,28,32,1082983493842468864,USA,Michael E. Parr - hot deal,Universal Removable AU EU UK US Plugs International Socket Charger Adapter for Samsung Xiaomi Huawei https://t.co/HXv9xgpC4C,0.0,Wed Jan 09 12:52:40 +0000 2019,bsywfdiwads,neutral,1083,0.0,1057307005323333632,False
smartdevil 3a fast typec cable fast charging usb c cable type-c data charger cord for samsung s8 s9 s7 note 8 9 xia ,xiaomi,smartdevil 3a fast typec cable fast charging usb c cable type-c data charger cord for samsung s8 s9 s7 note 8 9 xia ,310,700,1575,1082983529196204032,"New Jersey, USA",feydurordu,SmartDevil 3A Fast TypeC Cable Fast Charging USB C Cable Type-c Data Charger Cord For Samsung S8 S9 S7 Note 8 9 Xia… https://t.co/VYryysGePt,0.2,Wed Jan 09 12:52:48 +0000 2019,feydurordu704,positive,15288,0.6,900235994754162690,False
"#spreadyourvibe and force everyone to buy xiaomi phones, even if they don't like it",xiaomi,"#spreadyourvibe and force everyone to buy xiaomi phones, even if they don't like it",51,1,41,1082983534241898498,,Negative Thoughts,"#SpreadYourVibe and force everyone to buy Xiaomi phones, even if they don't like it",0.0,Wed Jan 09 12:52:50 +0000 2019,thoughtsnegativ,neutral,139,0.0,1075630238984478721,False
smartdevil 3a fast typec cable fast charging usb c cable type-c data charger cord for samsung s8 s9 s7 note 8 9 xia ,xiaomi,smartdevil 3a fast typec cable fast charging usb c cable type-c data charger cord for samsung s8 s9 s7 note 8 9 xia ,0,81,170,1082983540696993792,,lovelynovelty,SmartDevil 3A Fast TypeC Cable Fast Charging USB C Cable Type-c Data Charger Cord For Samsung S8 S9 S7 Note 8 9 Xia… https://t.co/lSLo08lluz,0.2,Wed Jan 09 12:52:51 +0000 2019,saturnandjupit1,positive,14485,0.6,994217947114520576,False
smartdevil 3a fast typec cable fast charging usb c cable type-c data charger cord for samsung s8 s9 s7 note 8 9 xia ,xiaomi,smartdevil 3a fast typec cable fast charging usb c cable type-c data charger cord for samsung s8 s9 s7 note 8 9 xia ,1304,1568,1662,1082983549911863297,,scape of day,SmartDevil 3A Fast TypeC Cable Fast Charging USB C Cable Type-c Data Charger Cord For Samsung S8 S9 S7 Note 8 9 Xia… https://t.co/YIn1scqhGm,0.2,Wed Jan 09 12:52:53 +0000 2019,scapeofday,positive,19255,0.6,928106238876848129,False
smartdevil 3a fast typec cable fast charging usb c cable type-c data charger cord for samsung s8 s9 s7 note 8 9 xia ,xiaomi,smartdevil 3a fast typec cable fast charging usb c cable type-c data charger cord for samsung s8 s9 s7 note 8 9 xia ,661,656,655,1082983559797846016,,CelebSFW,SmartDevil 3A Fast TypeC Cable Fast Charging USB C Cable Type-c Data Charger Cord For Samsung S8 S9 S7 Note 8 9 Xia… https://t.co/0nbYPGETms,0.2,Wed Jan 09 12:52:56 +0000 2019,celebsfw,positive,18793,0.6,933934701982580745,False
