TextBlob,brand,clean,favourites_count,followers_count,friends_count,id,location,name,orig,polarity,pubdate,screen_name,sentiment,statuses_count,subjectivity,user_id,verified
xiaomi buys tiny share in @blackberry phone maker @tcl_usa to spur collaboration ,xiaomi,xiaomi buys tiny share in @blackberry phone maker @tcl_usa to spur collaboration ,10711,2117350,1372885,1083069303375650817,"Portland, OR, and New York, NY",Digital Trends,Xiaomi buys tiny share in @Blackberry phone maker @TCL_USA to spur collaboration https://t.co/7J4hOgxOLV,0.0,Wed Jan 09 18:33:39 +0000 2019,DigitalTrends,neutral,114089,0.5,14763734,True
"xiaomi poco f1 adding 960fps slo-mo, night mode with the nextupdate  ",xiaomi,"xiaomi poco f1 adding 960fps slo-mo, night mode with the nextupdate  ",12,498042,43,1083006968766390273,,Android Community,"Xiaomi POCO F1 adding 960FPS slo-mo, Night mode with the next update https://t.co/rRiwK2bwPK https://t.co/OlVb87hIsk",0.0,Wed Jan 09 14:25:57 +0000 2019,Androids,neutral,49807,0.0,15895661,False
xiaomi-backed huami has launched amazfit cor 2 with 20-day battery life ,xiaomi,xiaomi-backed huami has launched amazfit cor 2 with 20-day battery life ,11,280006,15,1083098585573609475,India's most popular tech site,Gadgets 360,Xiaomi-backed Huami has launched Amazfit Cor 2 with 20-day battery life https://t.co/i7mTFYWwy1,0.0,Wed Jan 09 20:30:00 +0000 2019,Gadgets360,neutral,111573,0.0,43077446,True
.@xiaomi's airdots only cost $30 and work similarly to airpods ,xiaomi,.@xiaomi's airdots only cost $30 and work similarly to airpods ,204,207417,422,1082990875532242945,"New York, USA",Tech Insider,.@xiaomi's AirDots only cost $30 and work similarly to AirPods https://t.co/6FOqzhl69C,0.0,Wed Jan 09 13:22:00 +0000 2019,techinsider,neutral,53706,0.7,3224616765,True
xiaomi unveils the logo for the redmi brand  ,xiaomi,xiaomi unveils the logo for the redmi brand  ,7,145529,1,1083078719999160320,,GSMArena.com,Xiaomi unveils the logo for the Redmi brand https://t.co/ifRKQQLeDU https://t.co/xki3tbLqLO,0.0,Wed Jan 09 19:11:04 +0000 2019,gsmarena_com,neutral,40078,0.0,218570536,False
"fresh news xiaomi selects bluetooth mesh technology from silicon labs for new smart home products las vegas, jan. 9 ",xiaomi,"fresh news xiaomi selects bluetooth mesh technology from silicon labs for new smart home products las vegas, jan. 9 ",37844,98443,60234,1082997692844965888,United States,HEDGED news,"Fresh News Xiaomi Selects Bluetooth Mesh Technology from Silicon Labs for New Smart Home Products LAS VEGAS, Jan. 9… https://t.co/o1vQY5s5Bo",0.21688311688311687,Wed Jan 09 13:49:05 +0000 2019,politicalHEDGE,positive,590867,0.5324675324675324,790019230389248000,False
#gtutechupdate this is xiaomis new redmi phone with 48mp camera launching tomorrow:  ,xiaomi,#gtutechupdate this is xiaomis new redmi phone with 48mp camera launching tomorrow:  ,383,60819,1,1082995035052826625,"Delhi, India",Gadgets To Use,#gtutechupdate This is Xiaomi’s new Redmi phone with 48MP camera launching tomorrow: https://t.co/87JeLwpr00 https://t.co/Ph51OvFZ2G,0.13636363636363635,Wed Jan 09 13:38:32 +0000 2019,gadgetstouse,positive,17505,0.45454545454545453,94983263,False
"i added a video to a @youtube playlist  xiaomi mi 9,walking car,poco f1 big update,oppo r15 pro india,samsung",xiaomi,"i added a video to a @youtube playlist  xiaomi mi 9,walking car,poco f1 big update,oppo r15 pro india,samsung",1124,49975,17,1082992908662464518,"Mumbai, India",Techno Ruhez,"I added a video to a @YouTube playlist https://t.co/TXvZoyfKDB Xiaomi Mi 9,Walking Car,Poco F1 Big Update,Oppo R15 Pro India,Samsung",0.0,Wed Jan 09 13:30:05 +0000 2019,AmreliaRuhez,neutral,5579,0.1,2999018286,False
"xiaomi mi 9,walking car,poco f1 big update,oppo r15 pro india,samsung 8k tv,whatsapp fingerprint#733 ",xiaomi,"xiaomi mi 9,walking car,poco f1 big update,oppo r15 pro india,samsung 8k tv,whatsapp fingerprint#733 ",1124,49974,17,1082995715289374721,"Mumbai, India",Techno Ruhez,"Xiaomi Mi 9,Walking Car,Poco F1 Big Update,Oppo R15 Pro India,Samsung 8K Tv,Whatsapp Fingerprint#733 https://t.co/TXvZoyfKDB",0.0,Wed Jan 09 13:41:14 +0000 2019,AmreliaRuhez,neutral,5580,0.1,2999018286,False
xiaomi buys tiny share in @blackberry phone maker tcl to spur collaboration ,xiaomi,xiaomi buys tiny share in @blackberry phone maker tcl to spur collaboration ,145,47970,39933,1083059600436285441,"New York, NY",DT Mobile,Xiaomi buys tiny share in @Blackberry phone maker TCL to spur collaboration https://t.co/J8SS5ocsor,0.0,Wed Jan 09 17:55:05 +0000 2019,DTmobile,neutral,13716,0.5,4482294142,False
will worldwide smartphone sales actually turn around in 2019 despite all the negativity? good analysis from ,xiaomi,will worldwide smartphone sales actually turn around in 2019 despite all the negativity? good analysis from ,41507,44751,3455,1083091309429223430,"New York, NY",Paul R. La Monica,Will worldwide smartphone sales actually turn around in 2019 despite all the negativity? Good analysis from… https://t.co/P9AZYWyxsd,0.35,Wed Jan 09 20:01:05 +0000 2019,LaMonicaBuzz,positive,104676,0.35000000000000003,104952689,True
first pictures of the 48 mp redmi x teased by xiaomi ceo  ,xiaomi,first pictures of the 48 mp redmi x teased by xiaomi ceo  ,19,36199,1501,1082986382300073984,,onlinesitestore,First pictures of the 48 MP Redmi X teased by Xiaomi CEO https://t.co/G5U8z1wJD7 https://t.co/qQ2ZVvMwV3,0.25,Wed Jan 09 13:04:09 +0000 2019,workonline44,positive,33431,0.3333333333333333,759232045679779840,False
"#xiaomi to launch its new #redminote7 with 48mp main camera tomorrow. here's how you can watch the event live
",xiaomi,"#xiaomi to launch its new #redminote7 with 48mp main camera tomorrow. here's how you can watch the event live
",3,35395,114,1083042263872155649,"New Delhi, Delhi",Express Technology,"#Xiaomi to launch its new #RedmiNote7 with 48MP main camera tomorrow. Here's how you can watch the event live
https://t.co/einnSsp0Lf",0.14646464646464644,Wed Jan 09 16:46:12 +0000 2019,ExpressTechie,positive,33228,0.4292929292929293,3184725630,True
"chinese smartphone manufacturers like #xiaomi, #oneplus and more are giving #apple a run for their money globally
",xiaomi,"chinese smartphone manufacturers like #xiaomi, #oneplus and more are giving #apple a run for their money globally
",3,35394,114,1083019322426036225,"New Delhi, Delhi",Express Technology,"Chinese smartphone manufacturers like #Xiaomi, #OnePlus and more are giving #Apple a run for their money globally
https://t.co/jBguVvsfho",0.16666666666666666,Wed Jan 09 15:15:02 +0000 2019,ExpressTechie,positive,33226,0.16666666666666666,3184725630,True
"chinese smartphone manufacturers like #xiaomi, #oneplus and more are giving #apple a run for their money globally
",xiaomi,"chinese smartphone manufacturers like #xiaomi, #oneplus and more are giving #apple a run for their money globally
",3,35394,114,1083019475153272832,"New Delhi, Delhi",Express Technology,"Chinese smartphone manufacturers like #Xiaomi, #OnePlus and more are giving #Apple a run for their money globally
https://t.co/jBguVvsfho",0.16666666666666666,Wed Jan 09 15:15:39 +0000 2019,ExpressTechie,positive,33226,0.16666666666666666,3184725630,True
xiaomi buys tiny share in blackberry phone maker tcl to spur collaboration  ,xiaomi,xiaomi buys tiny share in blackberry phone maker tcl to spur collaboration  ,393423,32160,10905,1083062625208918017,"New Jersey, USA",Kenneth Hitchner,Xiaomi buys tiny share in Blackberry phone maker TCL to spur collaboration https://t.co/wdWWolU6OP https://t.co/1f0qW9l1Y3,0.0,Wed Jan 09 18:07:06 +0000 2019,KennethHitchner,neutral,126166,0.5,300615384,False
"after xiaomi, oppo will officially arrive in the uk on january 29 #oppo #uk  ",xiaomi,"after xiaomi, oppo will officially arrive in the uk on january 29 #oppo #uk  ",75,31151,5,1083022099160203264,"Plymouth, MI",Neowin,"After Xiaomi, OPPO will officially arrive in the UK on January 29 #OPPO #UK https://t.co/CwrtKKDfhh https://t.co/QVfL3KshE7",0.0,Wed Jan 09 15:26:04 +0000 2019,NeowinFeed,neutral,64210,0.0,14357338,False
"yup. lg, samsung, xiaomi. i think huawei too even though they havent said it out loud",xiaomi,"yup. lg, samsung, xiaomi. i think huawei too even though they havent said it out loud",4261,30200,2841,1083009686486597637,"Johannesburg, South Africa",Manqeezus,"Yup. LG, Samsung, Xiaomi. I think Huawei too even though they haven’t said it out loud",0.1,Wed Jan 09 14:36:45 +0000 2019,_Bonga,positive,474142,0.8,60862407,False
