TextBlob,brand,clean,favourites_count,followers_count,friends_count,id,location,name,orig,polarity,pubdate,screen_name,sentiment,statuses_count,subjectivity,user_id,verified
just saw a guy throw his eaten apple on the ground in a busy area when there was a bin like 10 feet away from him a ,apple,just saw a guy throw his eaten apple on the ground in a busy area when there was a bin like 10 feet away from him a ,6560,284,1179,1105143798584262656,A Town Called Eureka,☺ Ayayron 😉,Just saw a guy throw his eaten apple on the ground in a busy area when there was a bin like 10 feet away from him a… https://t.co/dfGTBiNDn6,0.1,Mon Mar 11 16:29:48 +0000 2019,smileyungcashew,positive,6329,0.3,18661716,False
@dread_shak this phone was old smh ... idk the apple i would that was on it ,apple,@dread_shak this phone was old smh ... idk the apple i would that was on it ,5,961,551,1105143872106229760,2039 s 5st ,💅🏽,@Dread_Shak This phone was old smh ... idk the Apple ID that was on it 😢😢😢😤,0.1,Mon Mar 11 16:30:06 +0000 2019,_Oniqx,positive,17987,0.2,3379333132,False
@sethabramson a least he didn't ask tim apple if he wnted some more covfefe.,apple,@sethabramson a least he didn't ask tim apple if he wnted some more covfefe.,1723,401,114,1105144071667019777,,Jim,@SethAbramson A least he didn't ask Tim Apple if he wnted some more covfefe.,0.1,Mon Mar 11 16:30:53 +0000 2019,Jim56931230,positive,5370,0.45,552032245,False
"the apple doesnt fall far from your kids lunchbox.  it falls directly into the trash, thrown there by your son wi ",apple,"the apple doesnt fall far from your kids lunchbox.  it falls directly into the trash, thrown there by your son wi ",222,421,700,1105144206866157569,"Austin, Texas",Amanda Hill,"The apple doesn’t fall far from your kid’s lunchbox.  It falls directly into the trash, thrown there by your son wi… https://t.co/DSQKVS1a57",0.1,Mon Mar 11 16:31:26 +0000 2019,amandabethhill,positive,1397,0.7,24497679,False
this is @cnn... really @cnnpr? this is who you employ? this is who currently represents your business model? this i ,apple,this is @cnn... really @cnnpr? this is who you employ? this is who currently represents your business model? this i ,23950,940,1271,1105144593627131906,Texas,"""So True"" Jen",THIS is @CNN... Really @CNNPR? THIS is who you employ? THIS is who currently represents your business model? THIS i… https://t.co/hfTlagLVgX,0.1,Mon Mar 11 16:32:58 +0000 2019,jen_myPsalms182,positive,31017,0.30000000000000004,128892904,False
"

thinking about pushing the tape/album/ep/? back til april, too much going on rn ): i promi ",apple,"

thinking about pushing the tape/album/ep/? back til april, too much going on rn ): i promi ",9683,663,439,1105144772858204162,rawVA,🐉 SHINOBI,"https://t.co/1qMMWha1GW

thinking about pushing the tape/album/ep/? back til april, too much going on rn ): I promi… https://t.co/YTf1BDcGFK",0.1,Mon Mar 11 16:33:41 +0000 2019,joshuagodly_,positive,6091,0.1,2769690280,False
"hahaha, he is actually defending this...",apple,"hahaha, he is actually defending this...",552,1223,1174,1105144939883753472,"Ghent, Belgium",Dimitri Van Heucke,"Hahaha, he is actually defending this...",0.1,Mon Mar 11 16:34:20 +0000 2019,dimitrivh,positive,15174,0.25,6286562,False
@kohenari @govricketts @negop the apple doesnt fall far from the tree ,apple,@kohenari @govricketts @negop the apple doesnt fall far from the tree ,82165,1332,808,1105145025657270273,Nearby,President “I Believe Putin”,@kohenari @GovRicketts @NEGOP The apple doesn’t fall far from the tree https://t.co/Vbf0VTB4El,0.1,Mon Mar 11 16:34:41 +0000 2019,realworldrj,positive,170435,1.0,14570525,False
dude really has the thinnest skin in the world. utterly incapable of ever admitting he messed up. you messed up. it ,apple,dude really has the thinnest skin in the world. utterly incapable of ever admitting he messed up. you messed up. it ,33061,478,490,1105145038802173953,,So PGA,Dude really has the thinnest skin in the world. Utterly incapable of ever admitting he messed up. You messed up. It… https://t.co/raEdo9Jnn4,0.1,Mon Mar 11 16:34:44 +0000 2019,a_smitty96,positive,10925,0.6,2162561163,False
"heading to the town centre? 

check out our fixed fares from your area. 

book now -  01236 738738 or book on our a ",apple,"heading to the town centre? 

check out our fixed fares from your area. 

book now -  01236 738738 or book on our a ",6,115,907,1105145150089637888,"Unit 1,
5 Main Road,
Condorrat",Express Cars Cumbernauld,"Heading To The Town Centre? 

Check out our Fixed Fares from your Area. 

Book Now -  01236 738738 or book on our A… https://t.co/C5J6Og9Y5c",0.1,Mon Mar 11 16:35:11 +0000 2019,Expresscars738,positive,468,0.2,851920317329149953,False
