TextBlob,brand,clean,favourites_count,followers_count,friends_count,id,location,name,orig,polarity,pubdate,screen_name,sentiment,statuses_count,subjectivity,user_id,verified
"@manukumarjain @xiaomiindia @miofficialbd @xiaomi with old soc , downgraded specs , same design and especially the ",xiaomi,"@manukumarjain @xiaomiindia @miofficialbd @xiaomi with old soc , downgraded specs , same design and especially the ",6471,475,1008,1082984762208206849,India,Gôütåm Says,"@manukumarjain @XiaomiIndia @MiOfficialBD @xiaomi With Old Soc , Downgraded Specs , Same Design And Especially The… https://t.co/Gic91GxmSy",0.03333333333333333,Wed Jan 09 12:57:42 +0000 2019,iGautam1,neutral,7783,0.44166666666666665,1037674671167000577,False
i've just posted a new blog: xiaomi mi a2 gets a permanent price cut in india  ,xiaomi,i've just posted a new blog: xiaomi mi a2 gets a permanent price cut in india  ,11,49,107,1082985180338495490,India,RUPAM NATH,I've just posted a new blog: Xiaomi Mi A2 gets a permanent price cut in India  https://t.co/kMougRyuGD,0.13636363636363635,Wed Jan 09 12:59:22 +0000 2019,rupamnath823,positive,1900,0.45454545454545453,867431262587416579,False
download xiaomi mi play stock wallpapers in highresolution  ,xiaomi,download xiaomi mi play stock wallpapers in highresolution  ,4,1111,1793,1082985230330408960,india,GizDev.Com,Download Xiaomi MI Play Stock Wallpapers In High Resolution https://t.co/lNyOytmT58 https://t.co/SXYchhXIGH,0.0,Wed Jan 09 12:59:34 +0000 2019,gizdevdotcom,neutral,4502,0.0,197045870,False
"why is the change in e-commerce rules good news for samsung and bad news for xiaomi?


#e-co ",xiaomi,"why is the change in e-commerce rules good news for samsung and bad news for xiaomi?


#e-co ",294,550,1078,1082992838604931072,India,Tech Foogle,"Why is the change in E-Commerce rules good news for Samsung and bad news for Xiaomi?
https://t.co/Nn6N1gkotc

#E-Co… https://t.co/5xS4zYBmhr",5.551115123125783e-17,Wed Jan 09 13:29:48 +0000 2019,techfoogle,neutral,5938,0.6333333333333333,116376440,False
"tdg xiaomi redmi note 5 pro 3d texture printed vans brand hard back case cover #tdg #smartband
299.00
 ",xiaomi,"tdg xiaomi redmi note 5 pro 3d texture printed vans brand hard back case cover #tdg #smartband
299.00
 ",1,18,41,1082993432421953537,INDIA,YourDeal.India,"TDG Xiaomi Redmi Note 5 Pro 3D Texture Printed Vans Brand Hard Back Case Cover #TDG #smartband
₹299.00
➤… https://t.co/FdMgk5TIwE",-0.14583333333333334,Wed Jan 09 13:32:09 +0000 2019,InYourdeal,negative,1849,0.2708333333333333,829750597,False
"tdg xiaomi redmi note 5 pro 3d texture printed mozaic hard back case cover #tdg #temperedglass
299.00
 ",xiaomi,"tdg xiaomi redmi note 5 pro 3d texture printed mozaic hard back case cover #tdg #temperedglass
299.00
 ",1,18,41,1082995175339773954,INDIA,YourDeal.India,"TDG Xiaomi Redmi Note 5 Pro 3D Texture Printed Mozaic Hard Back Case Cover #TDG #temperedglass
₹299.00
➤… https://t.co/tm2bkLipcp",-0.14583333333333334,Wed Jan 09 13:39:05 +0000 2019,InYourdeal,negative,1850,0.2708333333333333,829750597,False
"i've just posted a new blog: xiaomi black shark 'skywalker' spotted on geekbench, snapdragon 855 soc and 8gb ram ti ",xiaomi,"i've just posted a new blog: xiaomi black shark 'skywalker' spotted on geekbench, snapdragon 855 soc and 8gb ram ti ",7,268,150,1082995362237960193,India,Aman,"I've just posted a new blog: Xiaomi Black Shark 'Skywalker' Spotted on Geekbench, Snapdragon 855 SoC and 8GB RAM Ti… https://t.co/oIPmyav4DB",-0.015151515151515152,Wed Jan 09 13:39:50 +0000 2019,befrd4life,neutral,3501,0.44393939393939397,30454553,False
top news - redmi phone teased by xiaomi to sport a 48-megapixel camera a day ahead of launch - ndtv | ,xiaomi,top news - redmi phone teased by xiaomi to sport a 48-megapixel camera a day ahead of launch - ndtv | ,8,14,0,1082996905880182785,India,24Trends,Top News - Redmi Phone Teased by Xiaomi to Sport a 48-Megapixel Camera a Day Ahead of Launch - NDTV | https://t.co/YH9yg53VPz,0.5,Wed Jan 09 13:45:58 +0000 2019,24Trendsin,positive,43378,0.5,1054988224232349696,False
"speakers from harman, xiaomi &amp; synamedia's services - day 2 at ces 2019 expo
#speakers #harman #xiaomi #synamedia ",xiaomi,"speakers from harman, xiaomi &amp; synamedia's services - day 2 at ces 2019 expo
#speakers #harman #xiaomi #synamedia ",0,130,147,1082998751021723648,India,How Tech Hack,"Speakers from Harman, Xiaomi &amp; Synamedia's Services - Day 2 at CES 2019 Expo
#Speakers #Harman #Xiaomi #Synamedia… https://t.co/2PKC2ntGy7",0.0,Wed Jan 09 13:53:18 +0000 2019,HowTechHack,neutral,427,0.0,852070988149919744,False
"apple airpods clone xiaomi mi airdots pro unveiled in china priced approximately rs.4000 
#miairdots #xiaomi #mi ",xiaomi,"apple airpods clone xiaomi mi airdots pro unveiled in china priced approximately rs.4000 
#miairdots #xiaomi #mi ",556,1373,51,1082999231948873729,India,GadgetsFlix,"Apple AirPods Clone Xiaomi Mi AirDots Pro unveiled in china priced approximately Rs.4000 
#MiAirDots #Xiaomi #Mi… https://t.co/T0DhdL3y3b",-0.4,Wed Jan 09 13:55:12 +0000 2019,GadgetsFlix,negative,1761,0.6,774992787796221952,False
